TF	Total de genes regulados	Activados	Reprimidos	Tipo TF	Lista de genesATP-dependent RNA helicase DeaD	3	3	0	Activador	sdiA,uvrY,mntR
AaeR	3	3	0	Activador	aaeB,aaeA,aaeX
AccB	2	0	2	Represor	accB,accC
AcnB	1	1	0	Activador	acnB
AcrR	15	0	15	Represor	flhC,flhD,soxR,soxS,marA,marR,marB,acrA,acrB,acrR,micF,mdtU,puuA,mdtI,mdtJ
Ada	4	4	2	Dual	ada,alkB,alkA,aidB
AdiY	8	8	0	Activador	gltB,gltD,gadB,adiA,gltF,gadX,gadA,gadC
AgaR	11	0	11	Represor	agaA,kbaY,agaB,agaC,agaR,kbaZ,agaV,agaW,agaS,agaD,agaI
AgrB	1	0	1	Represor	dinQ
AidB	1	0	1	Represor	aidB
AlaS	1	0	1	Represor	alaS
AllR	9	0	9	Represor	gcl,allS,allA,hyi,glxR,allW,allB,ybbY,glxK
AllS	3	3	0	Activador	allE,allC,allD
AlpA	3	1	2	Dual	phoB,phoR,intA
AlsR	6	0	6	Represor	rpiB,alsE,alsC,alsA,alsB,alsR
AmeF	2	2	0	Activador	mazE,mazF
AppY	10	10	0	Activador	appA,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF,appB,appC,appX
AraC	19	10	13	Dual	araA,araB,araC,araD,araE,araF,araG,araH,araJ,xylA,xylB,ygeA,yjfF,ytfQ,ytfR,ytfT,xylZ,ydeM,ydeN
